"plot","treatment","structure","water","total_native","weeded","total_invasive"
4,"DT","J",125,30,0,205
4,"IR","J",125,12,1,127
5,"DT","J",125,59,1,164
5,"FD","J",125,35,0,61
5,"IR","J",125,35,0,136
5,"R","J",125,43,0,216
6,"DT","J",125,60,1,208
6,"FD","J",125,100,1,120
6,"IR","J",125,21,0,91
6,"R","J",125,55,1,62
7,"FD","J",125,68,0,160
7,"IR","J",125,73,1,129
7,"R","J",125,33,0,165
11,"DT","D",125,39,1,204
11,"IR","D",125,32,1,265
12,"DT","D",125,54,1,106
12,"IR","D",125,58,0,148
12,"R","D",125,47,0,214
13,"DT","D",125,80,0,157
13,"FD","D",125,41,1,167
13,"IR","D",125,48,0,263
13,"R","D",125,108,0,149
14,"DT","D",125,142,0,326
14,"FD","D",125,4,1,318
14,"IR","D",125,46,1,328
14,"R","D",125,19,1,338
15,"DT","F",125,97,0,813
15,"FD","F",125,41,0,266
15,"IR","F",125,38,1,228
15,"R","F",125,86,0,311
16,"DT","F",125,170,0,365
16,"FD","F",125,149,1,202
16,"IR","F",125,114,0,399
16,"R","F",125,114,1,377
17,"DT","F",125,66,1,254
17,"FD","F",125,44,1,257
17,"IR","F",125,144,0,236
17,"R","F",125,48,1,240
18,"DT","F",125,176,0,184
18,"FD","L",125,142,1,191
18,"IR","F",125,113,0,113
18,"R","L",125,39,1,118
19,"DT","L",125,391,1,174
19,"FD","L",125,47,0,174
19,"IR","L",125,61,1,140
19,"R","L",125,109,0,127
20,"DT","L",125,84,0,170
20,"FD","L",125,59,0,104
20,"IR","L",125,92,1,243
20,"R","L",125,171,1,92
21,"DT","L",125,37,1,84
21,"FD","L",125,52,1,90
21,"IR","L",125,102,0,127
21,"R","L",125,52,0,93
29,"DT","C",50,9,1,68
30,"DT","C",50,26,0,45
30,"FD","C",50,120,1,112
30,"IR","C",50,63,1,44
30,"R","C",50,18,0,23
31,"DT","C",50,29,0,67
31,"FD","C",50,87,0,29
31,"IR","C",50,9,0,74
31,"R","C",50,23,1,76
32,"DT","C",50,99,1,178
32,"FD","C",50,35,0,41
32,"IR","C",50,77,0,95
33,"DT","E",50,44,0,127
33,"FD","E",50,91,0,116
33,"IR","E",50,144,0,395
33,"R","E",50,79,1,241
34,"DT","E",50,80,1,58
34,"FD","E",50,72,0,87
34,"IR","E",50,109,1,216
34,"R","E",50,101,0,203
35,"DT","E",50,0,1,0
35,"FD","E",50,292,1,216
35,"IR","E",50,70,0,131
35,"R","E",50,160,1,172
36,"DT","E",50,14,0,21
36,"R","M",50,156,1,199
37,"DT","M",50,48,0,26
37,"FD","M",50,80,0,22
37,"IR","M",50,65,1,41
37,"R","M",50,28,1,21
38,"DT","M",50,79,1,50
38,"FD","M",50,78,1,29
38,"IR","M",50,31,0,13
38,"R","M",50,156,0,24
39,"DT","M",50,61,1,29
39,"FD","M",50,22,1,49
39,"IR","M",50,92,0,9
39,"R","M",50,65,0,45
43,"DT","N",50,23,0,62
43,"FD","N",50,43,0,39
44,"DT","N",50,10,1,32
44,"FD","N",50,45,1,73
44,"IR","N",50,19,0,3
44,"R","N",50,64,0,14
48,"DT","O",50,6,0,7
48,"FD","O",50,27,1,37
48,"IR","O",50,10,1,44
48,"R","O",50,38,0,70
49,"IR","O",50,26,0,155
49,"R","O",50,35,0,66
