"sample_id","species_code","abundance","sample_type","Species","seed.mass","mean_abundance","X","X.1"
"dt 1","ACAM",0.266756,"year0","Acmispon americanus",0.00364,0.088533547,NA,NA
"dt 1","ACMI",0,"year0","Achillea millefolium",0.00017,0.006356955,NA,NA
"dt 1","ACST",0,"year0","Acmispon strigosus",0.00139,0.02916849,NA,NA
"dt 1","AMME",0,"year0","Amsinckia menziesii",0.0014,0.129041085,NA,NA
"dt 1","ARPU",0,"year0","Aristida purpurea",0.00121,0,NA,NA
"dt 1","ASFA",0,"year0","Asclepias fascicularis",0.00391,0.001821949,NA,NA
"dt 1","BRCA",0,"year0","Bromus carinatus",0.00689,0.140296082,NA,NA
"dt 1","CAME",0.045077,"year0","Calandrinia menziesii (ciliata)",0.00073,0.037063727,NA,NA
"dt 1","CIOC",0,"year0","Cirsium occidentale",0.00593,0.009548198,NA,NA
"dt 1","DEFA",0,"year0","Deinandra fasciculata",0.00067,0,NA,NA
"dt 1","ELCO",0.035078,"year0","Elymus (Leymus) condensatus",0.00223,0,NA,NA
"dt 1","ELGL",0.147052,"year0","Elymus glaucus",0.00369,0.002531458,NA,NA
"dt 1","ESCA",0.029186,"year0","Eschscholzia californica",0.00108,0.007541432,NA,NA
"dt 1","FEMI",0,"year0","Festuca microstachys",0.00151,0.253290672,NA,NA
"dt 1","GRCA",0.062489,"year0","Grindelia camporum",0.00198,0.074548922,NA,NA
"dt 1","HOBR",0,"year0","Hordeum brachyantherum",0.00288,0.002554931,NA,NA
"dt 1","HOIN",0,"year0","Hordeum intercedens",0.00471,0,NA,NA
"dt 1","KOMA",0,"year0","Koeleria macrantha",0.00022,0,NA,NA
"dt 1","LAPL",0,"year0","Layia platyglossa",0.00058,0,NA,NA
"dt 1","LUBI",0.265115,"year0","Lupinus bicolor",0.00391,0.000794985,NA,NA
"dt 1","LUMI",0,"year0","Lupinus microcarpus",0.02635,0,NA,NA
"dt 1","LUSU",0,"year0","Lupinus succulentus",0.0271,0.004858119,NA,NA
"dt 1","MEIM",0,"year0","Melica imperfecta",0.00096,0,NA,NA
"dt 1","MURI",0.008468,"year0","Muhlenbergia rigens",2e-04,0,NA,NA
"dt 1","PHCI",0,"year0","Phacelia cicutaria",0.00082,0.20964141,NA,NA
"dt 1","PLER",0.138629,"year0","Plantago erecta",0.00154,0.001651048,NA,NA
"dt 1","POSE",0.002151,"year0","Poa secunda",0.00057,0,NA,NA
"dt 1","RACA",0,"year0","Ranunculus californicus",0.00226,0.000355497,NA,NA
"dt 1","SIBE",0,"year0","Sisyrinchium bellum",0.00138,0,NA,NA
"dt 1","SPAI",0,"year0","Sporobolus airoides",0.00024,0,NA,NA
"dt 1","STPU",0,"year0","Stipa pulchra",0.00485,0.000186707,NA,NA
"dt 1","TRWI",0,"year0","Trifolium willdenovii",0.00202,0.000214787,NA,NA
"dt 10","ACAM",0,"year0","Acmispon americanus",0.00364,0.088533547,NA,NA
"dt 10","ACMI",0,"year0","Achillea millefolium",0.00017,0.006356955,NA,NA
"dt 10","ACST",0.162734,"year0","Acmispon strigosus",0.00139,0.02916849,NA,NA
"dt 10","AMME",0,"year0","Amsinckia menziesii",0.0014,0.129041085,NA,NA
"dt 10","ARPU",0,"year0","Aristida purpurea",0.00121,0,NA,NA
"dt 10","ASFA",0.049981,"year0","Asclepias fascicularis",0.00391,0.001821949,NA,NA
"dt 10","BRCA",0.047855,"year0","Bromus carinatus",0.00689,0.140296082,NA,NA
"dt 10","CAME",0.290469,"year0","Calandrinia menziesii (ciliata)",0.00073,0.037063727,NA,NA
"dt 10","CIOC",0,"year0","Cirsium occidentale",0.00593,0.009548198,NA,NA
"dt 10","DEFA",0,"year0","Deinandra fasciculata",0.00067,0,NA,NA
"dt 10","ELCO",0,"year0","Elymus (Leymus) condensatus",0.00223,0,NA,NA
"dt 10","ELGL",0.058868,"year0","Elymus glaucus",0.00369,0.002531458,NA,NA
"dt 10","ESCA",0,"year0","Eschscholzia californica",0.00108,0.007541432,NA,NA
"dt 10","FEMI",0,"year0","Festuca microstachys",0.00151,0.253290672,NA,NA
"dt 10","GRCA",0,"year0","Grindelia camporum",0.00198,0.074548922,NA,NA
"dt 10","HOBR",0,"year0","Hordeum brachyantherum",0.00288,0.002554931,NA,NA
"dt 10","HOIN",0.065634,"year0","Hordeum intercedens",0.00471,0,NA,NA
"dt 10","KOMA",0,"year0","Koeleria macrantha",0.00022,0,NA,NA
"dt 10","LAPL",0,"year0","Layia platyglossa",0.00058,0,NA,NA
"dt 10","LUBI",0,"year0","Lupinus bicolor",0.00391,0.000794985,NA,NA
"dt 10","LUMI",0.133779,"year0","Lupinus microcarpus",0.02635,0,NA,NA
